canonical_concept,header_variant,target_field,variant_type,confidence_hint,source,active,notes
fellowship_specialty,specialty_1,fellowshipSpecialty,underscore,0.93,phase2_file_scan,true,
fellowship_specialty,specialty_2,fellowshipSpecialty,underscore,0.93,phase2_file_scan,true,
fellowship_specialty,specialty_3,fellowshipSpecialty,underscore,0.93,phase2_file_scan,true,
fellowship_to_date,FELLOWSHIP COMPLETION DATE,fellowshipToDate,upper_exact,0.95,learning_kb_correction,true,
fellowship_to_date,fellowship_end_date,fellowshipToDate,underscore,0.8,phase2_file_scan,true,
fellowship_to_date,fellowship_end_date2,fellowshipToDate,underscore,0.8,phase2_file_scan,true,
fellowship_to_date,fellowship_end_date3,fellowshipToDate,underscore,0.8,phase2_file_scan,true,
first_name,CAQH First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Credentialing Contact First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Credentialing_Contact_First_Name,firstName,underscore,0.8,phase2_file_scan,true,
first_name,Credentilaling Contact First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,FIRST NAME,firstName,upper_exact,0.95,learning_kb_correction,true,
first_name,FIRSTNAME,firstName,upper_exact,0.8,phase2_file_scan,true,
first_name,FNAME,firstName,upper_exact,0.70,phase2_file_scan,true,
first_name,First Name*,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Formatted First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Legal Name - First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Main Contact First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Member FIrst Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Office Manager First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Physician First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Practitioner First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Practitioner First Name (Group Name),firstName,title_case,0.8,phase2_file_scan,true,
first_name,Prov. First Name,firstName,dotted_duplicate,0.8,phase2_file_scan,true,
first_name,Provider First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Provider First Name*,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Provider's First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_\1ame,ProviderFirstName,firstName,title_case,0.75,phase2_v3_scan,true,
first_name,Provider_First_Name,firstName,underscore,0.8,phase2_file_scan,true,
first_name,Providers First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Supervising Provider First Name,firstName,title_case,0.8,phase2_file_scan,true,
first_name,Supervising_Provider_First_Name,firstName,underscore,0.8,phase2_file_scan,true,
first_name,client_FirstName,firstName,underscore,0.8,phase2_file_scan,true,
first_name,first_name,firstName,underscore,0.93,phase2_file_scan,true,
first_name,first_name_Vendor_Action,firstName,underscore,0.8,phase2_file_scan,true,
first_name,first_name_Vendor_Value,firstName,underscore,0.8,phase2_file_scan,true,
first_\1ame,prvdr first nm,firstName,exact,0.93,phase2_v3_scan,true,
first_\1ame,svc_prvdr_first_nm,firstName,underscore,0.85,phase2_v3_scan,true,
first_name,﻿First name,firstName,exact,0.8,phase2_file_scan,true,
gender,Address/Service Location Gender Restrictions,gender,title_case,0.8,phase2_file_scan,true,
gender,Gender,gender,title_case,0.95,learning_kb_correction,true,
gender,Gender (M/F),gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Accepted,gender,title_case,0.8,phase2_file_scan,true,
gender,"Gender Accepted (Both, Male, Female)",gender,title_case,0.8,phase2_file_scan,true,
gender,"Gender Accepted (Both,Male,Female)",gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Accepted (Both/ Male/ Female),gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Affirming Provider,gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Affirming Treatment,gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Identity,gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Identity Limitation,gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Limitations Flag,gender,title_case,0.8,phase2_file_scan,true,
gender,Gender Restrictions,gender,title_case,0.8,mapping_export,true,
gender,Gender_Accepted,gender,underscore,0.8,phase2_file_scan,true,
gender,Provider Gender,gender,title_case,0.8,phase2_file_scan,true,
gender,Provider's Gender,gender,title_case,0.8,phase2_file_scan,true,
gender,Provider_Gender,gender,underscore,0.8,phase2_file_scan,true,
gender,Sex,gender,title_case,0.8,phase2_file_scan,true,
gender,Sex*,gender,title_case,0.8,phase2_file_scan,true,
gender,gender_Vendor_Action,gender,underscore,0.8,phase2_file_scan,true,
gender,gender_Vendor_Value,gender,underscore,0.8,phase2_file_scan,true,
group_billing_address1,AddressesDMPNAdditional-1-BillingAddress_1,groupBillingAddress1,underscore,0.8,phase2_file_scan,true,
group_billing_address1,AddressesDMPNAdditional-2-BillingAddress_1,groupBillingAddress1,underscore,0.8,phase2_file_scan,true,
group_billing_address1,AddressesDMPNAdditional-3-BillingAddress_1,groupBillingAddress1,underscore,0.8,phase2_file_scan,true,
group_billing_address1,AddressesDMPNAdditional-4-BillingAddress_1,groupBillingAddress1,underscore,0.8,phase2_file_scan,true,
group_billing_address1,AddressesDMPNAdditional-5-BillingAddress_1,groupBillingAddress1,underscore,0.8,phase2_file_scan,true,
group_billing_address1,AddressesDMPNPrimary-1-BillingAddress,groupBillingAddress1,title_case,0.8,phase2_file_scan,true,
group_billing_address1,AddressesDMPNPrimary-2-BillingAddress,groupBillingAddress1,title_case,0.8,phase2_file_scan,true,
group_billing_address1,BILLING ADDRESS,groupBillingAddress1,upper_exact,0.95,learning_kb_correction,true,
group_billing_address1,"Billing Address
(REQUIRED)",groupBillingAddress1,title_case,0.8,phase2_file_scan,true,
group_billing_address1,Billing Address 2,groupBillingAddress1,title_case,0.8,phase2_file_scan,true,
group_billing_address1,Billing Address 2 (If Applicable),groupBillingAddress1,title_case,0.8,phase2_file_scan,true,
